customer_id,umap_1,umap_2,cluster
3,6.6598864,12.222203,1
4,-3.464175,6.5697494,2
5,4.2705054,6.15144,6
7,8.689753,-0.19110385,7
8,7.795475,-0.8325366,7
9,-5.452581,4.736959,0
10,4.690507,7.0853567,5
11,7.912677,11.908587,6
12,7.3529935,6.4488015,1
14,-5.471306,4.052443,0
15,-4.1696773,7.492968,2
16,5.9602365,11.586933,3
18,8.289121,-1.0462835,7
19,10.889805,8.541252,6
20,7.135634,12.828216,4
22,-6.592561,6.3932147,2
24,-2.8357215,5.0010123,0
25,7.1979933,6.505269,1
26,8.002326,11.68357,4
27,4.464694,10.031311,1
28,14.58312,10.394379,1
29,3.8836775,9.869362,1
30,-6.076389,3.9577343,0
31,10.2262745,0.59168,6
33,3.9306593,9.131596,6
34,9.504115,12.036366,6
35,4.4863887,6.3570466,6
36,10.065647,14.832809,5
37,4.5504656,9.193498,4
38,7.0949554,11.110889,6
39,7.848682,13.33367,4
40,9.734531,14.343763,5
41,-4.4354844,4.046066,0
42,13.434466,10.542802,1
44,-2.9311082,6.3815975,2
46,-6.3539786,6.3897104,2
47,6.177088,10.065459,1
48,14.254539,11.183574,3
49,11.437484,13.496707,5
50,7.9315925,12.269567,6
52,10.824938,-0.06333256,7
53,5.7613435,12.451988,3
54,8.144058,-0.7979671,7
55,10.366975,13.139136,5
56,13.467987,10.002676,1
57,14.641057,11.357589,3
59,13.278823,10.67783,1
60,10.43796,13.637159,6
61,-4.8775673,4.2661247,0
62,10.328337,14.825038,5
63,-3.4505715,5.0778365,0
64,6.488103,12.1037,1
66,-5.263603,4.591385,0
69,-5.7325597,6.0807533,2
70,10.8069105,0.9571363,7
71,-5.683758,3.7711883,0
72,-5.3826847,7.2522044,2
73,9.976454,3.1440332,7
74,-5.974863,5.9949584,2
75,9.641052,3.4371812,7
76,3.8955426,7.6042542,6
77,-4.9062443,5.314313,0
78,10.41912,15.2169485,4
79,3.7538476,10.542769,4
80,11.893094,10.542761,1
81,14.312172,10.722661,3
82,7.446757,6.118758,1
83,11.294849,0.7134182,7
84,6.93767,13.555571,3
85,10.70453,8.499997,6
86,4.3109403,9.281416,4
87,7.921895,13.199897,4
89,-5.8280144,4.8234296,0
90,7.901656,-0.3690424,7
91,5.8238597,11.610982,3
92,6.886803,11.719753,1
94,-5.2196,4.1221604,0
95,4.3744507,7.4120636,5
97,14.381136,10.872479,3
100,4.4146175,9.3462925,1
102,8.109421,-0.79107255,7
103,-6.3623505,6.0691266,2
105,11.104953,13.935064,5
106,7.87211,-0.48520708,7
107,7.468266,13.772564,4
108,5.9720073,12.918246,3
109,-3.5096605,6.3113027,2
110,7.124013,12.225414,1
111,-6.2348695,3.9496155,0
112,14.754241,11.159577,3
113,3.7498252,9.487399,1
114,7.0349245,10.408276,6
115,8.332933,-1.0467106,7
116,7.542384,-0.8720578,7
117,7.150966,12.736341,4
119,-5.6242075,4.516507,0
120,-3.2144647,6.406242,2
121,7.763576,11.692145,4
122,10.778015,12.233509,5
123,11.048199,13.374491,5
124,-3.6031811,7.1973944,2
125,-5.322995,4.6197085,0
126,11.398332,8.927102,6
127,11.334078,9.361872,5
128,8.149238,-0.8268992,7
129,-6.048158,6.383016,2
130,9.464623,11.724533,6
131,7.623954,13.713375,1
132,7.67279,11.715284,6
134,14.550468,10.458007,3
135,3.3962502,6.844812,6
136,13.78398,10.832711,1
137,-4.4186563,3.9866827,0
138,10.795672,10.7189,3
139,-5.880466,3.373071,0
141,-4.0652647,6.631533,2
142,8.426499,13.187879,4
144,9.746511,3.0293393,7
145,10.501433,-0.39531428,7
146,-4.6971855,4.1968994,0
147,6.7945194,12.836808,4
148,-3.7718205,5.3501863,0
149,10.388376,13.932165,5
152,13.769712,9.483984,1
154,8.071922,-0.9227937,7
157,7.5466285,12.436376,6
158,4.470761,9.013423,7
159,6.446871,9.890823,1
160,-5.0921245,3.8935938,0
161,4.1097345,8.680346,6
162,13.484661,10.651781,1
163,-4.136279,3.9342306,0
165,11.252453,12.738947,5
166,3.4767792,8.731987,5
168,7.4441786,10.888931,1
170,9.814012,2.9302647,3
171,6.2207627,11.713601,3
172,-4.1066656,4.4496627,0
173,7.1863017,13.182174,1
174,6.0466185,8.9999075,6
176,11.157922,11.005613,1
179,7.351819,13.2957325,1
180,6.3333306,13.515719,3
182,7.4591665,6.2954206,1
184,3.6560977,7.245147,1
185,8.423459,13.697655,4
186,11.127881,13.931865,5
187,10.800299,0.13208188,7
188,-3.573043,5.2314305,0
189,-3.7241971,6.34313,2
191,5.109929,7.1704135,6
192,14.336844,11.544618,3
193,-4.1053767,3.8240545,0
195,4.7046514,9.748482,1
196,14.754333,11.281368,3
197,-6.279739,3.4788673,0
198,6.3632197,12.571432,3
199,6.076101,9.888113,6
200,7.2982297,13.68986,4
201,8.237145,12.710448,5
202,9.444076,12.059504,6
203,7.8395348,12.666624,1
204,7.9621186,12.216276,4
205,-6.5959544,6.3527355,2
206,7.44003,12.936987,4
207,7.3544497,13.555811,4
208,9.770065,14.392269,5
210,14.030126,10.16846,1
211,8.333862,13.579313,4
212,8.938817,11.167248,6
213,4.22943,6.4363236,6
214,14.798289,10.596935,3
215,4.238193,10.698266,3
216,7.0488353,6.7346816,1
217,11.797505,10.672229,1
218,6.210577,9.649171,6
219,10.439805,1.0503083,4
220,3.4555142,6.536262,6
225,13.717383,10.493532,1
226,-5.714985,4.159772,0
229,10.718343,14.642896,5
231,10.79929,13.36681,5
232,6.008941,6.8340926,6
233,7.16172,6.2878184,1
235,6.1902227,6.7444906,6
236,9.390877,3.5953963,7
238,6.3585076,10.21393,3
240,10.51426,0.8550049,7
241,3.5917325,6.5796156,6
242,7.1319327,13.330278,1
243,-3.687497,6.81372,2
244,6.540418,10.231611,6
245,8.9848,11.136645,6
248,5.9950724,10.046106,4
249,6.783482,5.994111,1
250,-4.333655,3.776814,0
251,4.0308394,10.814285,3
254,5.1488495,10.416711,3
256,6.948513,13.286099,4
257,6.39101,12.954767,3
258,9.498603,11.964468,6
259,6.5626974,13.277048,3
260,9.913552,3.2398183,7
261,10.442155,14.7239895,5
262,14.70976,11.227301,3
263,7.9511104,-0.50640714,7
264,-3.9971037,6.8307695,2
265,7.138973,13.840125,1
266,3.727435,10.467329,3
270,-6.0482845,6.914107,2
272,7.523148,12.343779,6
274,9.504082,11.576833,5
276,3.7242477,9.734491,1
278,8.175773,12.104946,4
279,5.8899064,6.939172,4
280,8.622003,13.23872,5
282,13.6084175,9.626562,6
283,10.535478,10.988309,6
284,10.347832,10.681355,4
285,-4.727882,3.6193411,0
287,11.140628,8.714742,4
288,10.596806,0.9749777,7
290,8.477759,12.722768,6
292,8.874395,11.926766,6
293,12.175117,9.625599,4
295,7.310005,11.366718,6
296,9.207319,11.868401,6
297,-3.8636236,6.3794336,2
298,8.104102,13.104303,6
299,4.1304955,8.919044,5
300,9.643878,3.5392985,7
301,8.415045,12.600775,6
303,-6.133412,4.2639794,2
304,4.6275253,7.1558104,6
305,7.4466615,11.998691,6
306,4.3614807,9.290363,6
307,-3.8585055,6.590838,2
308,6.820737,11.242145,4
310,10.754433,11.770889,4
311,-3.986538,6.525888,2
312,5.713291,11.8684025,3
313,10.528566,1.1541606,1
315,7.7784915,11.522714,6
317,-3.5540895,6.41241,2
321,3.9438875,8.510509,6
322,3.4965022,9.932342,4
323,5.9239573,11.805603,3
324,-6.393907,6.6195135,2
325,11.073392,12.747531,5
326,11.223632,13.590214,5
328,13.25887,10.632471,1
329,-3.4052153,6.3639746,2
330,4.893262,9.013232,6
331,10.330226,-0.34432343,7
336,13.474571,10.989643,1
337,13.376263,9.770643,6
338,10.432039,-0.2148911,7
339,7.452349,13.191608,4
340,4.312331,8.738704,4
341,9.13085,11.732557,1
342,9.4599905,12.806136,5
343,4.2929573,10.176897,3
344,10.742462,13.863278,5
346,6.25243,9.761142,6
347,11.546764,10.593693,5
350,3.3371763,6.327765,6
351,4.1197753,7.125864,6
352,4.292227,6.147816,6
353,6.0167155,6.95042,5
355,3.389362,6.304047,6
356,-3.605728,7.4539227,2
358,-5.803631,3.736199,0
360,9.29716,11.890358,6
361,11.039884,11.195548,4
362,3.9629629,9.202816,6
363,8.248443,-0.44033235,7
364,-2.6589828,4.902338,0
365,-4.7982826,3.6393647,0
366,-6.0040593,3.8747177,0
367,11.921986,9.676642,3
368,7.4834833,11.701835,1
369,5.8433924,6.8009458,6
370,13.480091,9.978846,6
371,6.477569,13.619304,3
372,3.3612523,9.616075,4
373,7.1105886,12.09524,4
375,11.3960495,14.542449,5
376,14.655633,11.416915,3
377,7.2016773,6.508904,1
378,3.903104,7.479887,6
379,10.261337,14.839989,5
381,4.295548,10.11893,1
382,3.8285742,10.450654,3
383,10.713602,15.083995,5
384,6.3977146,12.773124,3
385,-6.029768,4.866453,0
386,8.007783,12.362701,1
387,6.770453,12.333435,1
389,-4.411813,3.668064,0
390,9.431879,3.4239104,7
391,10.760252,13.124637,5
392,13.481628,10.947019,1
393,-6.472896,6.5495243,2
394,7.2688546,11.767403,1
395,13.554829,9.999896,6
396,8.554656,-0.38048992,7
397,4.567749,6.7160287,6
398,10.069343,3.0988598,7
399,-6.2188425,6.429216,2
400,-6.279979,6.5150976,2
401,7.0904684,10.784189,1
402,4.004627,10.73099,3
403,-5.0295444,7.5474305,2
405,8.312695,11.714502,7
406,7.9161434,13.162084,4
407,7.61312,6.3893924,3
408,11.281645,0.7121911,7
410,4.3751545,9.678521,4
411,4.376869,5.983554,6
412,8.312911,-1.0868253,7
413,11.266029,14.55643,5
414,8.062375,12.326518,4
416,-5.154914,6.736057,2
417,-6.6395326,6.29511,2
418,6.976424,10.526183,4
419,-6.163466,4.1833315,0
420,-5.079572,4.071576,0
421,4.6978774,6.4042554,6
424,-3.8842514,4.436368,0
425,-3.6199224,7.427553,2
426,9.953631,3.1003535,7
427,7.997036,11.896901,6
428,8.144159,12.202965,6
429,3.45675,6.6344714,6
431,10.310554,13.886615,5
432,-5.5249987,6.1225057,2
434,6.0331473,12.854419,3
435,11.095223,13.422863,5
436,10.977202,8.744523,4
437,9.771862,12.806485,5
438,8.541075,12.998306,4
440,6.0371294,12.857057,3
441,-2.8838675,6.9265733,2
442,13.806003,9.922937,1
443,6.338349,13.030788,4
445,11.314587,0.6749065,7
446,14.420538,11.237789,3
447,3.488875,6.447952,6
448,7.8050137,13.581733,1
449,3.5070794,6.894894,6
450,8.2225485,13.290609,4
451,9.862929,13.047666,5
452,7.289841,12.179686,4
453,6.6267138,6.2392364,7
455,3.4364247,10.114213,4
456,-5.4672585,6.151122,2
457,-5.5386,3.6554482,0
460,-6.1940236,4.57495,0
461,11.701555,9.399225,4
462,-3.4281337,5.3495255,0
464,3.8104239,6.6134477,6
465,9.596131,3.4581087,7
467,-6.1375256,5.7999144,2
469,10.78999,14.628475,5
470,9.245329,3.7438774,7
471,14.371727,10.80173,3
472,11.300685,0.54354155,7
473,11.158669,14.329543,5
474,8.206149,13.795947,4
475,-4.840841,5.1813364,0
476,11.081684,11.132212,6
477,8.161468,13.732654,4
479,7.55186,12.566323,1
480,-3.5372279,6.495505,2
481,9.510853,3.5189521,7
482,6.2427464,13.479197,3
484,7.4057736,11.775217,4
485,14.056867,11.29718,3
486,5.0088553,6.507846,6
487,7.2319145,10.876298,4
488,9.935014,13.748456,4
489,7.848364,12.104897,6
490,7.3423595,12.672756,4
491,7.5884843,13.21609,1
492,7.8480797,11.3241415,6
494,14.191765,10.114523,1
495,5.8563695,6.772798,6
496,-4.5303864,3.7898524,0
497,10.7298975,13.423792,5
498,4.833277,6.6644855,6
499,6.6527185,11.238023,1
501,6.05564,9.231206,1
502,8.003954,12.054296,6
503,11.024414,12.852442,5
504,11.265159,13.180718,5
505,7.0567493,12.690521,4
506,10.432264,15.117073,6
508,4.2542486,10.356766,4
509,7.5446997,-0.90545404,7
510,7.962638,11.583443,4
511,7.3094544,11.663327,1
513,9.151678,11.919373,1
514,10.649585,11.006019,6
515,-4.619153,4.113548,0
516,10.770196,0.14920767,7
517,-6.0473967,4.4733124,0
518,4.941082,6.3737144,6
521,3.8877423,6.0308976,6
522,10.913059,8.603151,6
524,6.5098786,13.1266775,3
526,-5.055088,7.262905,2
527,9.135722,11.743561,6
528,14.739483,11.25945,3
529,14.197515,11.173826,3
530,7.2244687,6.6515193,1
531,10.77818,13.088272,5
532,6.524695,12.553414,1
533,5.1452317,7.0413756,6
534,8.799396,13.002002,5
535,-5.3196745,3.904244,0
536,-6.0223827,5.194067,0
537,10.69358,14.130009,5
538,11.81154,10.730437,1
539,6.652448,11.373851,1
540,5.5945582,11.769267,3
541,4.414066,10.372152,3
542,3.5656428,10.364173,3
543,13.265072,10.280098,1
545,4.030699,6.636364,6
547,-3.6284022,4.862404,0
548,5.8765326,6.7333717,6
549,-2.9613452,6.901862,2
550,7.3753867,6.5322404,3
551,7.6671333,11.104227,6
552,14.2822485,9.933968,1
553,11.446767,13.559038,5
554,13.835496,10.185972,1
557,14.378301,10.445168,4
558,8.131549,11.578102,5
559,7.687016,11.830616,6
561,6.2683687,12.088231,3
562,10.890848,10.715056,6
563,13.967779,11.197306,3
565,4.097104,9.861007,1
566,-3.3747075,5.180282,0
568,10.27734,-0.0020481443,7
569,-5.0119443,7.000807,2
570,11.0200615,12.24846,5
571,11.47944,13.593425,4
